,FileName,XMin,XMax,YMin,YMax,ClassName
0,31ql9MDckPL.jpg,0.364,0.692,0.064,0.696,shorts
1,31ql9MDckPL.jpg,0.518,0.792,0.834,0.98,shoes
2,31ql9MDckPL.jpg,0.226,0.428,0.78,0.976,shoes
3,31RJnNYhGpL.jpg,0.1125,0.81,0.358,0.958,tshirt
4,31RJnNYhGpL.jpg,0.3475,0.68,0.364,0.464,roundneck
5,31RJnNYhGpL.jpg,0.1275,0.32,0.41,0.956,halfsleeve
6,31RJnNYhGpL.jpg,0.69,0.8,0.418,0.936,halfsleeve
7,31RJnNYhGpL.jpg,0.335,0.6625,0.484,0.89,solid
8,31t4KzkbVSL.jpg,0.35735735735735735,0.8048048048048048,0.142,0.658,shorts
9,31t4KzkbVSL.jpg,0.5435435435435435,0.7087087087087087,0.754,0.848,sandals
10,31t4KzkbVSL.jpg,0.2882882882882883,0.4954954954954955,0.752,0.836,sandals
11,31trkm6fNvL.jpg,0.033,0.978,0.003,1.0,tshirt
12,31trkm6fNvL.jpg,0.344,0.655,0.006,0.085,roundneck
13,31trkm6fNvL.jpg,0.048,0.286,0.083,0.482,halfsleeve
14,31trkm6fNvL.jpg,0.746,0.953,0.065,0.501,halfsleeve
15,31trkm6fNvL.jpg,0.309,0.716,0.181,0.968,solid
16,31UukS-eK2L.jpg,0.020202020202020204,0.9848484848484849,0.034,0.982,tshirt
17,31UukS-eK2L.jpg,0.7575757575757576,0.9696969696969697,0.116,0.478,halfsleeve
18,31UukS-eK2L.jpg,0.03787878787878788,0.26515151515151514,0.122,0.462,halfsleeve
19,31UukS-eK2L.jpg,0.3484848484848485,0.6767676767676768,0.04,0.146,roundneck
20,31UukS-eK2L.jpg,0.29292929292929293,0.7196969696969697,0.17,0.468,printed
21,31WraqKXE0L.jpg,0.03699551569506727,0.9820627802690582,0.072,0.933,tshirt
22,31WraqKXE0L.jpg,0.04932735426008968,0.2757847533632287,0.122,0.448,halfsleeve
23,31WraqKXE0L.jpg,0.7600896860986547,0.9730941704035875,0.126,0.433,halfsleeve
24,31WraqKXE0L.jpg,0.37668161434977576,0.6289237668161435,0.081,0.197,roundneck
25,31WraqKXE0L.jpg,0.312780269058296,0.734304932735426,0.235,0.881,solid
26,31ZrRHriafL.jpg,0.2012779552715655,0.7955271565495208,0.05,0.84,pants
27,31ZrRHriafL.jpg,0.6293929712460063,0.8466453674121406,0.812,0.934,shoes
28,31ZrRHriafL.jpg,0.1597444089456869,0.3961661341853035,0.818,0.922,shoes
29,41+cDO+3sOL.jpg,0.317,0.675,0.034,0.47,sweatshirt
30,41+cDO+3sOL.jpg,0.562,0.673,0.071,0.464,fullsleeve
31,41+cDO+3sOL.jpg,0.323,0.385,0.093,0.455,fullsleeve
32,41+cDO+3sOL.jpg,0.364,0.636,0.45,0.952,sweatpants
33,41+cDO+3sOL.jpg,0.531,0.65,0.848,0.983,shoes
34,41+cDO+3sOL.jpg,0.389,0.501,0.938,1.0,shoes
35,41+nhJ71sTL.jpg,0.188,0.813,0.027,1.0,shorts
36,41+RPK-Z-wL.jpg,0.18468468468468469,0.8963963963963963,0.112,0.84,tshirt
37,41+RPK-Z-wL.jpg,0.2057057057057057,0.3213213213213213,0.211,0.452,halfsleeve
38,41+RPK-Z-wL.jpg,0.6441441441441441,0.8783783783783784,0.17,0.456,halfsleeve
39,41+RPK-Z-wL.jpg,0.38288288288288286,0.6411411411411412,0.118,0.197,roundneck
40,41+RPK-Z-wL.jpg,0.34234234234234234,0.6216216216216216,0.23,0.775,solid
41,41+To0guuRS.jpg,0.32367632367632365,0.7212787212787213,0.006993006993006993,0.8171828171828172,sweatpants
42,41+To0guuRS.jpg,0.4675324675324675,0.7482517482517482,0.8061938061938062,0.985014985014985,shoes
43,41+To0guuRS.jpg,0.37962037962037964,0.6063936063936064,0.7132867132867133,0.8961038961038961,shoes
44,41-3-nlV1aL.jpg,0.0775,0.96,0.028,0.938,tshirt
45,41-3-nlV1aL.jpg,0.0925,0.2625,0.072,0.914,halfsleeve
46,41-3-nlV1aL.jpg,0.7775,0.95,0.13,0.93,halfsleeve
47,41-3-nlV1aL.jpg,0.43,0.7275,0.036,0.174,roundneck
48,41-3-nlV1aL.jpg,0.2925,0.7275,0.198,0.866,solid
49,41-3OB4w44L.jpg,0.072,0.947,0.001,1.0,tshirt
50,41-3OB4w44L.jpg,0.081,0.29,0.142,0.497,halfsleeve
